"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10","WT11"
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-05",,,,,,"66","79","57",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-06",,,,,,"68","82","56",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-07",,,,,,"69","83","56",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-08",,,,,,"69","86","56",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-09",,,,,,"73","90","56",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-10",,,,,,"78","91","65",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-11",,,,,,"78","89","67",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-12",,,,,,"74","86","58",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-13",,,,,,"65","79","56",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-14",,,,,,"68","81","55",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-15",,,,,,"69","83","56",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-16",,,,,,"71","87","57",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-17",,,,,,"65","77","54",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-18",,,,,,"63","77","53",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-19",,,,,,"66","80","51",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-20",,,,,,"77","92","61",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-21",,,,,,"78","91","67",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-22",,,,,,"80","91","71",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-23",,,,,,"81","92","71",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-24",,,,,,"81","93","71",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-25",,,,,,"82","94","71",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-26",,,,,,"82","94","71",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-27",,,,,,"85","95","76",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-28",,,,,,"83","95","73",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-29",,,,,,"80","92","68",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-30",,,,,,"77","89","65",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-07-01",,,,,,"75","89","64",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-07-02",,,,,,"72","84","58",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-07-03",,,,,,"65","79","56",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-07-04",,,,,,"65","78","55",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-07-05",,,,,,"66","82","55",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-07-06",,,,,,"68","81","58",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-07-07",,,,,,"71","83","59",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-07-08",,,,,,"72","87","58",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-07-09",,,,,,"77","90","63",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-07-10",,,,,,"78","90","68",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-07-11",,,,,,"73","86","63",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-07-12",,,,,,"68","83","56",,,,,,,,,,,
